TOP SELLERS,GENRE,TAGS
Apex Legends™,"Action, Adventure, Free to Play","Free to Play, Battle Royale, Multiplayer, Shooter, FPS, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Survival, Loot, Character Customization, Funny, Co-op, Lore-Rich, Cyberpunk, Cinematic"
Baldur's Gate,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Sexual Content, Dark Fantasy, Combat, Controller"
Call of Duty®,Action,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person"
Counter-Strike 2,"Action, Free to Play","FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable"
Cyberpunk 2077: Phantom Liberty,RPG,"RPG, Open World, Sexual Content, Cyberpunk, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First-Person, FPS, Character Customization, Action RPG, Action, Shooter, Choices Matter, Horror, Stealth, Great Soundtrack"
"DJMAX RESPECT V","Action, Casual, Sports","Rhythm, Casual, Music, Action, Sports, Anime, Great Soundtrack, Multiplayer, Sexual Content, Singleplayer, Competitive, Difficult, Arcade, Early Access, 2D, Cute, Nudity, Mature"
Dota 2,"Action, Strategy, Free to Play","Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation"
EA SPORTS FC™ 24,"Simulation, Sports","Football (Soccer), Sports, Controller, PvP, Multiplayer, eSports, Competitive, PvE, 3D, Simulation, First-Person, Local Multiplayer, Co-op, Realistic, Online Co-Op, Action, Local Co-Op, Singleplayer, Family Friendly, Early Access"
ELDEN RING,"Action, RPG","Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly"
"Eternal Return","Indie, Strategy, Free to Play","Free to Play, Anime, Multiplayer, MOBA, Survival, PvP, Combat, Top-Down, Crafting, Action, 3D, Strategy, Tactical, Character Customization, Indie, Experimental, Point & Click, Early Access, Sexual Content, MMORPG"
Fallen Shinobi,Simulation,"Sexual Content, Hentai, Nudity, Simulation, NSFW, Mature, Anime, 2D, Dating Sim, Multiple Endings, Singleplayer, Interactive Fiction, Fantasy, Time Management"
Grand Theft Auto V,"Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Mature, Shooter, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable"
Hogwarts Legacy,"Action, Adventure, RPG","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly"
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co-Op, Horror, First-Person, Co-op, Psychological Horror, Exploration, Survival Horror, Sci-fi, PvE, Procedural Generation, Atmospheric, Aliens, Time Management, Funny, Adventure, Dungeon Crawler, Action, Action-Adventure, Early Access, Perma Death"
Monster Hunter World: Iceborne,Action,"Action, Multiplayer, Co-op, Open World, Hunting, Difficult, Third Person, Adventure, Singleplayer, Online Co-Op, Character Customization, RPG, Exploration, Dragons, Hack and Slash, Story Rich, PvE, JRPG, Souls-like, Anime"
Monster Hunter: World,Action,"Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Action RPG, Singleplayer, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG"
NARAKA: BLADEPOINT,"Action, Adventure, Massively Multiplayer","Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Fighting, Massively Multiplayer, Third Person, Character Customization, Survival, Hack and Slash, Swordplay, Parkour, Anime, Adventure, Mature, Violent, Free to Play, Gore"
"Peeping Dorm Manager","Indie, RPG","Sexual Content, Hentai, Nudity, Mature, NSFW, Pixel Graphics, RPG, Puzzle, Crime, Point & Click, Anime, Singleplayer, Clicker, Cute, JRPG, FMV, Dating Sim, Female Protagonist, Simulation, Strategy"
PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free to Play","Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth"
Street Fighter™ 6,"Action, Adventure","2D Fighter, Fighting, Action, Character Customization, Arcade, Adventure, Multiplayer, Competitive, PvP, Open World, eSports, Singleplayer, Action RPG, Local Multiplayer, Controller, 3D, Sandbox, Great Soundtrack, 3D Fighter, Martial Arts"
Yu-Gi-Oh! Master Duel,"Simulation, Strategy, Free to Play","Card Game, Free to Play, Strategy, Trading Card Game, Multiplayer, PvP, Card Battler, Anime, Simulation, Turn-Based Tactics, Tactical, Singleplayer, eSports, Fantasy, Survival Horror, Dragons, PvE, 3D, 2D, Great Soundtrack"
